-- Seed: -6244207999796636337 --
1227841655040 DAYS              : ERROR: 1227841655040 DAYS is too large to represent in NANOSECONDS
103138699023360 DAYS            : ERROR: 103138699023360 DAYS is too large to represent in NANOSECONDS
103138699023360 DAYS            : ERROR: 103138699023360 DAYS is too large to represent in NANOSECONDS
825109592186880 DAYS            : ERROR: 825109592186880 DAYS is too large to represent in NANOSECONDS
75910082481192960 DAYS          : ERROR: 75910082481192960 DAYS is too large to represent in NANOSECONDS
3871414206540840960 DAYS        : ERROR: 3871414206540840960 DAYS is too large to represent in NANOSECONDS

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$1.NANOSECONDS, java.util.concurrent.TimeUnit$1.NANOSECONDS, true, false);
7 NANOSECONDS                   : 7ns
70 NANOSECONDS                  : 70ns
5810 NANOSECONDS                : 5810ns
528710 NANOSECONDS              : 528710ns
10574200 NANOSECONDS            : 10574200ns
666174600 NANOSECONDS           : 666174600ns
37971952200 NANOSECONDS         : 37971952200ns
2088457371000 NANOSECONDS       : 2088457371000ns
127395899631000 NANOSECONDS     : 127395899631000ns
1783542594834000 NANOSECONDS    : 1783542594834000ns
8917712974170000 NANOSECONDS    : 8917712974170000ns
615322195217730000 NANOSECONDS  : 615322195217730000ns
7 MICROSECONDS                  : 7000ns
483 MICROSECONDS                : 483000ns
42504 MICROSECONDS              : 42504000ns
3697848 MICROSECONDS            : 3697848000ns
295827840 MICROSECONDS          : 295827840000ns
7691523840 MICROSECONDS         : 7691523840000ns
515332097280 MICROSECONDS       : 515332097280000ns
29373929544960 MICROSECONDS     : 29373929544960000ns
1468696477248000 MICROSECONDS   : 1468696477248000000ns
14686964772480000 MICROSECONDS  : ERROR: 14686964772480000 MICROSECONDS is too large to represent in NANOSECONDS
1351200759068160000 MICROSECONDS: ERROR: 1351200759068160000 MICROSECONDS is too large to represent in NANOSECONDS
4053602277204480000 MICROSECONDS: ERROR: 4053602277204480000 MICROSECONDS is too large to represent in NANOSECONDS
2 MILLISECONDS                  : 2000000ns
112 MILLISECONDS                : 112000000ns
9408 MILLISECONDS               : 9408000000ns
479808 MILLISECONDS             : 479808000000ns
35985600 MILLISECONDS           : 35985600000000ns
1151539200 MILLISECONDS         : 1151539200000000ns
67940812800 MILLISECONDS        : 67940812800000000ns
2106165196800 MILLISECONDS      : 2106165196800000000ns
126369911808000 MILLISECONDS    : ERROR: 126369911808000 MILLISECONDS is too large to represent in NANOSECONDS
10615072591872000 MILLISECONDS  : ERROR: 10615072591872000 MILLISECONDS is too large to represent in NANOSECONDS
689979718471680000 MILLISECONDS : ERROR: 689979718471680000 MILLISECONDS is too large to represent in NANOSECONDS
3 SECONDS                       : 3000000000ns
237 SECONDS                     : 237000000000ns
11139 SECONDS                   : 11139000000000ns
824286 SECONDS                  : 824286000000000ns
78307170 SECONDS                : 78307170000000000ns
704764530 SECONDS               : 704764530000000000ns
64133572230 SECONDS             : ERROR: 64133572230 SECONDS is too large to represent in NANOSECONDS
6285090078540 SECONDS           : ERROR: 6285090078540 SECONDS is too large to represent in NANOSECONDS
571943197147140 SECONDS         : ERROR: 571943197147140 SECONDS is too large to represent in NANOSECONDS
13726636731531360 SECONDS       : ERROR: 13726636731531360 SECONDS is too large to represent in NANOSECONDS
1002044481401789280 SECONDS     : ERROR: 1002044481401789280 SECONDS is too large to represent in NANOSECONDS
0 MINUTES                       : 0ns
8 MINUTES                       : 480000000000ns
296 MINUTES                     : 17760000000000ns
2960 MINUTES                    : 177600000000000ns
189440 MINUTES                  : 11366400000000000ns
10987520 MINUTES                : 659251200000000000ns
560363520 MINUTES               : ERROR: 560363520 MINUTES is too large to represent in NANOSECONDS
22414540800 MINUTES             : ERROR: 22414540800 MINUTES is too large to represent in NANOSECONDS
1434530611200 MINUTES           : ERROR: 1434530611200 MINUTES is too large to represent in NANOSECONDS
40166857113600 MINUTES          : ERROR: 40166857113600 MINUTES is too large to represent in NANOSECONDS
1928009141452800 MINUTES        : ERROR: 1928009141452800 MINUTES is too large to represent in NANOSECONDS
79048374799564800 MINUTES       : ERROR: 79048374799564800 MINUTES is too large to represent in NANOSECONDS
4900999237573017600 MINUTES     : ERROR: 4900999237573017600 MINUTES is too large to represent in NANOSECONDS
0 HOURS                         : 0ns
25 HOURS                        : 90000000000000ns
775 HOURS                       : 2790000000000000ns
60450 HOURS                     : 217620000000000000ns
5621850 HOURS                   : ERROR: 5621850 HOURS is too large to represent in NANOSECONDS
219252150 HOURS                 : ERROR: 219252150 HOURS is too large to represent in NANOSECONDS
13374381150 HOURS               : ERROR: 13374381150 HOURS is too large to represent in NANOSECONDS
748965344400 HOURS              : ERROR: 748965344400 HOURS is too large to represent in NANOSECONDS
57670331518800 HOURS            : ERROR: 57670331518800 HOURS is too large to represent in NANOSECONDS
1845450608601600 HOURS          : ERROR: 1845450608601600 HOURS is too large to represent in NANOSECONDS
147636048688128000 HOURS        : ERROR: 147636048688128000 HOURS is too large to represent in NANOSECONDS
5757805898836992000 HOURS       : ERROR: 5757805898836992000 HOURS is too large to represent in NANOSECONDS
5 DAYS                          : 432000000000000ns
85 DAYS                         : 7344000000000000ns
7650 DAYS                       : 660960000000000000ns
321300 DAYS                     : ERROR: 321300 DAYS is too large to represent in NANOSECONDS
31487400 DAYS                   : ERROR: 31487400 DAYS is too large to represent in NANOSECONDS
1794781800 DAYS                 : ERROR: 1794781800 DAYS is too large to represent in NANOSECONDS
17947818000 DAYS                : ERROR: 17947818000 DAYS is too large to represent in NANOSECONDS
17947818000 DAYS                : ERROR: 17947818000 DAYS is too large to represent in NANOSECONDS
125634726000 DAYS               : ERROR: 125634726000 DAYS is too large to represent in NANOSECONDS
11307125340000 DAYS             : ERROR: 11307125340000 DAYS is too large to represent in NANOSECONDS
915877152540000 DAYS            : ERROR: 915877152540000 DAYS is too large to represent in NANOSECONDS
10074648677940000 DAYS          : ERROR: 10074648677940000 DAYS is too large to represent in NANOSECONDS
886569083658720000 DAYS         : ERROR: 886569083658720000 DAYS is too large to represent in NANOSECONDS

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$1.NANOSECONDS, java.util.concurrent.TimeUnit$1.NANOSECONDS, true, true);
6 NANOSECONDS                   : 6ns
216 NANOSECONDS                 : 216ns
14904 NANOSECONDS               : 14904ns
372600 NANOSECONDS              : 372600ns
1117800 NANOSECONDS             : 1117800ns
102837600 NANOSECONDS           : 102837600ns
7609982400 NANOSECONDS          : 7609982400ns
182639577600 NANOSECONDS        : 182639577600ns
11323653811200 NANOSECONDS      : 11323653811200ns
883244997273600 NANOSECONDS     : 883244997273600ns
16781654948198400 NANOSECONDS   : 16781654948198400ns
486667993497753600 NANOSECONDS  : 486667993497753600ns
0 MICROSECONDS                  : 0ns
77 MICROSECONDS                 : 77000ns
770 MICROSECONDS                : 770000ns
60830 MICROSECONDS              : 60830000ns
2919840 MICROSECONDS            : 2919840000ns
17519040 MICROSECONDS           : 17519040000ns
1103699520 MICROSECONDS         : 1103699520000ns
35318384640 MICROSECONDS        : 35318384640000ns
3284609771520 MICROSECONDS      : 3284609771520000ns
16423048857600 MICROSECONDS     : 16423048857600000ns
1100344273459200 MICROSECONDS   : 1100344273459200000ns
3301032820377600 MICROSECONDS   : 3301032820377600000ns
66020656407552000 MICROSECONDS  : ERROR: 66020656407552000 MICROSECONDS is too large to represent in NANOSECONDS
2508784943486976000 MICROSECONDS: ERROR: 2508784943486976000 MICROSECONDS is too large to represent in NANOSECONDS
5 MILLISECONDS                  : 5000000ns
120 MILLISECONDS                : 120000000ns
8280 MILLISECONDS               : 8280000000ns
57960 MILLISECONDS              : 57960000000ns
1564920 MILLISECONDS            : 1564920000000ns
139277880 MILLISECONDS          : 139277880000000ns
5153281560 MILLISECONDS         : 5153281560000000ns
206131262400 MILLISECONDS       : 206131262400000000ns
6183937872000 MILLISECONDS      : 6183937872000000000ns
383404148064000 MILLISECONDS    : ERROR: 383404148064000 MILLISECONDS is too large to represent in NANOSECONDS
16102974218688000 MILLISECONDS  : ERROR: 16102974218688000 MILLISECONDS is too large to represent in NANOSECONDS
595810046091456000 MILLISECONDS : ERROR: 595810046091456000 MILLISECONDS is too large to represent in NANOSECONDS
0 SECONDS                       : 0ns
89 SECONDS                      : 89000000000ns
1869 SECONDS                    : 1869000000000ns
173817 SECONDS                  : 173817000000000ns
8343216 SECONDS                 : 8343216000000000ns
433847232 SECONDS               : 433847232000000000ns
30369306240 SECONDS             : ERROR: 30369306240 SECONDS is too large to represent in NANOSECONDS
2490283111680 SECONDS           : ERROR: 2490283111680 SECONDS is too large to represent in NANOSECONDS
112062740025600 SECONDS         : ERROR: 112062740025600 SECONDS is too large to represent in NANOSECONDS
6163450701408000 SECONDS        : ERROR: 6163450701408000 SECONDS is too large to represent in NANOSECONDS
18490352104224000 SECONDS       : ERROR: 18490352104224000 SECONDS is too large to represent in NANOSECONDS
277355281563360000 SECONDS      : ERROR: 277355281563360000 SECONDS is too large to represent in NANOSECONDS
3 MINUTES                       : 180000000000ns
204 MINUTES                     : 12240000000000ns
15504 MINUTES                   : 930240000000000ns
558144 MINUTES                  : 33488640000000000ns
33488640 MINUTES                : 2009318400000000000ns
2545136640 MINUTES              : ERROR: 2545136640 MINUTES is too large to represent in NANOSECONDS
10180546560 MINUTES             : ERROR: 10180546560 MINUTES is too large to represent in NANOSECONDS
325777489920 MINUTES            : ERROR: 325777489920 MINUTES is too large to represent in NANOSECONDS
24107534254080 MINUTES          : ERROR: 24107534254080 MINUTES is too large to represent in NANOSECONDS
1615204795023360 MINUTES        : ERROR: 1615204795023360 MINUTES is too large to represent in NANOSECONDS
35534505490513920 MINUTES       : ERROR: 35534505490513920 MINUTES is too large to represent in NANOSECONDS
3233639999636766720 MINUTES     : ERROR: 3233639999636766720 MINUTES is too large to represent in NANOSECONDS
3 HOURS                         : 10800000000000ns
75 HOURS                        : 270000000000000ns
5100 HOURS                      : 18360000000000000ns
30600 HOURS                     : 110160000000000000ns
2662200 HOURS                   : ERROR: 2662200 HOURS is too large to represent in NANOSECONDS
258233400 HOURS                 : ERROR: 258233400 HOURS is too large to represent in NANOSECONDS
4131734400 HOURS                : ERROR: 4131734400 HOURS is too large to represent in NANOSECONDS
185928048000 HOURS              : ERROR: 185928048000 HOURS is too large to represent in NANOSECONDS
1115568288000 HOURS             : ERROR: 1115568288000 HOURS is too large to represent in NANOSECONDS
64702960704000 HOURS            : ERROR: 64702960704000 HOURS is too large to represent in NANOSECONDS
1099950331968000 HOURS          : ERROR: 1099950331968000 HOURS is too large to represent in NANOSECONDS
37398311286912000 HOURS         : ERROR: 37398311286912000 HOURS is too large to represent in NANOSECONDS
2804873346518400000 HOURS       : ERROR: 2804873346518400000 HOURS is too large to represent in NANOSECONDS
4 DAYS                          : 345600000000000ns
320 DAYS                        : 27648000000000000ns
16000 DAYS                      : 1382400000000000000ns
1424000 DAYS                    : ERROR: 1424000 DAYS is too large to represent in NANOSECONDS
44144000 DAYS                   : ERROR: 44144000 DAYS is too large to represent in NANOSECONDS
2825216000 DAYS                 : ERROR: 2825216000 DAYS is too large to represent in NANOSECONDS
87581696000 DAYS                : ERROR: 87581696000 DAYS is too large to represent in NANOSECONDS
7444444160000 DAYS              : ERROR: 7444444160000 DAYS is too large to represent in NANOSECONDS
200999992320000 DAYS            : ERROR: 200999992320000 DAYS is too large to represent in NANOSECONDS
10853999585280000 DAYS          : ERROR: 10853999585280000 DAYS is too large to represent in NANOSECONDS
282203989217280000 DAYS         : ERROR: 282203989217280000 DAYS is too large to represent in NANOSECONDS

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$2.MICROSECONDS, java.util.concurrent.TimeUnit$7.DAYS, false, false);
7 NANOSECONDS                   : 0us
133 NANOSECONDS                 : 0us
532 NANOSECONDS                 : 0us
19684 NANOSECONDS               : 19us
334628 NANOSECONDS              : 334us
27439496 NANOSECONDS            : 27ms:439us
1015261352 NANOSECONDS          : 1s:015ms:261us
5076306760 NANOSECONDS          : 5s:076ms:306us
167518123080 NANOSECONDS        : 2m:47s:518ms:123us
11223714246360 NANOSECONDS      : 3h:07m:03s:714ms:246us
886673425462440 NANOSECONDS     : 10d:06h:17m:53s:425ms:462us
82460628568006920 NANOSECONDS   : 954d:09h:43m:48s:568ms:006us
1896594457064159160 NANOSECONDS : 21951d:07h:47m:37s:064ms:159us
6 MICROSECONDS                  : 6us
282 MICROSECONDS                : 282us
11280 MICROSECONDS              : 11ms:280us
1071600 MICROSECONDS            : 1s:071ms:600us
16074000 MICROSECONDS           : 16s:074ms
1189476000 MICROSECONDS         : 19m:49s:476ms
32115852000 MICROSECONDS        : 8h:55m:15s:852ms
224810964000 MICROSECONDS       : 2d:14h:26m:50s:964ms
674432892000 MICROSECONDS       : 7d:19h:20m:32s:892ms
51256899792000 MICROSECONDS     : 593d:06h:01m:39s:792ms
5074433079408000 MICROSECONDS   : 58731d:20h:44m:39s:408ms
492220008702576000 MICROSECONDS : 5696990d:20h:11m:42s:576ms
8367740147943792000 MICROSECONDS: 96848844d:07h:19m:03s:792ms
3 MILLISECONDS                  : 3ms
255 MILLISECONDS                : 255ms
8670 MILLISECONDS               : 8s:670ms
182070 MILLISECONDS             : 3m:02s:070ms
6372450 MILLISECONDS            : 1h:46m:12s:450ms
350484750 MILLISECONDS          : 4d:01h:21m:24s:750ms
7710664500 MILLISECONDS         : 89d:05h:51m:04s:500ms
38553322500 MILLISECONDS        : 446d:05h:15m:22s:500ms
693959805000 MILLISECONDS       : 8031d:22h:36m:45s
33310070640000 MILLISECONDS     : 385533d:05h:24m
1232472613680000 MILLISECONDS   : 14264729d:07h:48m
119549843526960000 MILLISECONDS : 1383678744d:12h:36m
8 SECONDS                       : 8s
16 SECONDS                      : 16s
1120 SECONDS                    : 18m:40s
57120 SECONDS                   : 15h:52m
856800 SECONDS                  : 9d:22h
35985600 SECONDS                : 416d:12h
2015193600 SECONDS              : 23324d
14106355200 SECONDS             : 163268d
28212710400 SECONDS             : 326536d
1128508416000 SECONDS           : 13061440d
89152164864000 SECONDS          : 1031853760d
624065154048000 SECONDS         : 7222976320d
58038059326464000 SECONDS       : 671736797760d
2147408195079168000 SECONDS     : 24854261517120d
1 MINUTES                       : 1m
5 MINUTES                       : 5m
335 MINUTES                     : 5h:35m
1340 MINUTES                    : 22h:20m
132660 MINUTES                  : 92d:03h
3979800 MINUTES                 : 2763d:18h
83575800 MINUTES                : 58038d:18h
5432427000 MINUTES              : 3772518d:18h
217297080000 MINUTES            : 150900750d
7170803640000 MINUTES           : 4979724750d
358540182000000 MINUTES         : 248986237500d
11831826006000000 MINUTES       : 8216545837500d
331291128168000000 MINUTES      : 230063283450000d
1325164512672000000 MINUTES     : 920253133800000d
2 HOURS                         : 2h
14 HOURS                        : 14h
1358 HOURS                      : 56d:14h
48888 HOURS                     : 2037d
3128832 HOURS                   : 130368d
159570432 HOURS                 : 6648768d
9733796352 HOURS                : 405574848d
399085650432 HOURS              : 16628568768d
24344224676352 HOURS            : 1014342694848d
705982515614208 HOURS           : 29415938150592d
40946985905624064 HOURS         : 1706124412734336d
3685228731506165760 HOURS       : 153551197146090240d
5 DAYS                          : 5d
160 DAYS                        : 160d
11840 DAYS                      : 11840d
1006400 DAYS                    : 1006400d
16102400 DAYS                   : 16102400d
305945600 DAYS                  : 305945600d
18356736000 DAYS                : 18356736000d
972907008000 DAYS               : 972907008000d
2918721024000 DAYS              : 2918721024000d
52536978432000 DAYS             : 52536978432000d
3257292662784000 DAYS           : 3257292662784000d
110747950534656000 DAYS         : 110747950534656000d
6866372933148672000 DAYS        : 6866372933148672000d

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$2.MICROSECONDS, java.util.concurrent.TimeUnit$7.DAYS, false, true);
6 NANOSECONDS                   : 0d:00h:00m:00s:000ms:000us
162 NANOSECONDS                 : 0d:00h:00m:00s:000ms:000us
15714 NANOSECONDS               : 0d:00h:00m:00s:000ms:015us
549990 NANOSECONDS              : 0d:00h:00m:00s:000ms:549us
40699260 NANOSECONDS            : 0d:00h:00m:00s:040ms:699us
2238459300 NANOSECONDS          : 0d:00h:00m:02s:238ms:459us
100730668500 NANOSECONDS        : 0d:00h:01m:40s:730ms:668us
2115344038500 NANOSECONDS       : 0d:00h:35m:15s:344ms:038us
177688899234000 NANOSECONDS     : 2d:01h:21m:28s:899ms:234us
9595200558636000 NANOSECONDS    : 111d:01h:20m:00s:558ms:636us
67166403910452000 NANOSECONDS   : 777d:09h:20m:03s:910ms:452us
2888155368149436000 NANOSECONDS : 33427d:17h:22m:48s:149ms:436us
1 MICROSECONDS                  : 0d:00h:00m:00s:000ms:001us
92 MICROSECONDS                 : 0d:00h:00m:00s:000ms:092us
8832 MICROSECONDS               : 0d:00h:00m:00s:008ms:832us
644736 MICROSECONDS             : 0d:00h:00m:00s:644ms:736us
25789440 MICROSECONDS           : 0d:00h:00m:25s:789ms:440us
1934208000 MICROSECONDS         : 0d:00h:32m:14s:208ms
141197184000 MICROSECONDS       : 1d:15h:13m:17s:184ms
11436971904000 MICROSECONDS     : 132d:08h:56m:11s:904ms
297361269504000 MICROSECONDS    : 3441d:16h:21m:09s:504ms
23194179021312000 MICROSECONDS  : 268451d:03h:30m:21s:312ms
347912685319680000 MICROSECONDS : 4026767d:04h:35m:19s:680ms
2 MILLISECONDS                  : 0d:00h:00m:00s:002ms
118 MILLISECONDS                : 0d:00h:00m:00s:118ms
3068 MILLISECONDS               : 0d:00h:00m:03s:068ms
107380 MILLISECONDS             : 0d:00h:01m:47s:380ms
5369000 MILLISECONDS            : 0d:01h:29m:29s
332878000 MILLISECONDS          : 3d:20h:27m:58s
30624776000 MILLISECONDS        : 354d:10h:52m:56s
520621192000 MILLISECONDS       : 6025d:16h:59m:52s
26031059600000 MILLISECONDS     : 301285d:09h:53m:20s
1509801456800000 MILLISECONDS   : 17474553d:21h:33m:20s
46803845160800000 MILLISECONDS  : 541711170d:20h:13m:20s
3276269161256000000 MILLISECONDS: 37919781958d:23h:33m:20s
2 SECONDS                       : 0d:00h:00m:02s
122 SECONDS                     : 0d:00h:02m:02s
2928 SECONDS                    : 0d:00h:48m:48s
278160 SECONDS                  : 3d:05h:16m
13073520 SECONDS                : 151d:07h:32m
209176320 SECONDS               : 2421d:00h:32m
18825868800 SECONDS             : 217892d
960119308800 SECONDS            : 11112492d
66248232307200 SECONDS          : 766761948d
2252439898444800 SECONDS        : 26069906232d
189204951469363200 SECONDS      : 2189872123488d
7 MINUTES                       : 0d:00h:07m
294 MINUTES                     : 0d:04h:54m
16464 MINUTES                   : 11d:10h:24m
1415904 MINUTES                 : 983d:06h:24m
77874720 MINUTES                : 54079d:16h
6307852320 MINUTES              : 4380453d
592938118080 MINUTES            : 411762582d
47435049446400 MINUTES          : 32941006560d
1043571087820800 MINUTES        : 724702144320d
82442115937843200 MINUTES       : 57251469401280d
3709895217202944000 MINUTES     : 2576316123057600d
8 HOURS                         : 0d:08h
512 HOURS                       : 21d:08h
32768 HOURS                     : 1365d:08h
1933312 HOURS                   : 80554d:16h
177864704 HOURS                 : 7411029d:08h
355729408 HOURS                 : 14822058d:16h
1067188224 HOURS                : 44466176d
68300046336 HOURS               : 2845835264d
1844101251072 HOURS             : 76837552128d
49790733778944 HOURS            : 2074613907456d
3684514299641856 HOURS          : 153521429151744d
55267714494627840 HOURS         : 2302821437276160d
165803143483883520 HOURS        : 6908464311828480d
5968913165419806720 HOURS       : 248704715225825280d
3 DAYS                          : 3d
264 DAYS                        : 264d
9240 DAYS                       : 9240d
683760 DAYS                     : 683760d
28717920 DAYS                   : 28717920d
1636921440 DAYS                 : 1636921440d
144049086720 DAYS               : 144049086720d
5617914382080 DAYS              : 5617914382080d
505612294387200 DAYS            : 505612294387200d
13145919654067200 DAYS          : 13145919654067200d
26291839308134400 DAYS          : 26291839308134400d
1866720590877542400 DAYS        : 1866720590877542400d

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$2.MICROSECONDS, java.util.concurrent.TimeUnit$7.DAYS, true, false);
1 NANOSECONDS                   : 0us
33 NANOSECONDS                  : 0us
1023 NANOSECONDS                : 1us
14322 NANOSECONDS               : 14us
401016 NANOSECONDS              : 401us
6416256 NANOSECONDS             : 6ms:416us
538965504 NANOSECONDS           : 538ms:965us
39883447296 NANOSECONDS         : 39s:883ms:447us
2353123390464 NANOSECONDS       : 39m:13s:123ms:390us
21178110514176 NANOSECONDS      : 5h:52m:58s:110ms:514us
1291864741364736 NANOSECONDS    : 14d:22h:51m:04s:741ms:364us
40047806982306816 NANOSECONDS   : 463d:12h:23m:26s:982ms:306us
2242677191009181696 NANOSECONDS : 25956d:21h:53m:11s:009ms:181us
4485354382018363392 NANOSECONDS : 51913d:19h:46m:22s:018ms:363us
0 MICROSECONDS                  : 0us
12 MICROSECONDS                 : 12us
804 MICROSECONDS                : 804us
77988 MICROSECONDS              : 77ms:988us
4445316 MICROSECONDS            : 4s:445ms:316us
391187808 MICROSECONDS          : 6m:31s:187ms:808us
33250963680 MICROSECONDS        : 9h:14m:10s:963ms:680us
1729050111360 MICROSECONDS      : 20d:00h:17m:30s:111ms:360us
148698309576960 MICROSECONDS    : 1721d:01h:05m:09s:576ms:960us
13531546171503360 MICROSECONDS  : 156615d:02h:49m:31s:503ms:360us
148847007886536960 MICROSECONDS : 1722766d:07h:04m:46s:536ms:960us
1935011102524980480 MICROSECONDS: 22395961d:20h:02m:04s:980ms:480us
6 MILLISECONDS                  : 6ms:000us
456 MILLISECONDS                : 456ms:000us
27360 MILLISECONDS              : 27s:360ms:000us
1997280 MILLISECONDS            : 33m:17s:280ms:000us
101861280 MILLISECONDS          : 1d:04h:17m:41s:280ms:000us
3768867360 MILLISECONDS         : 43d:14h:54m:27s:360ms:000us
207287704800 MILLISECONDS       : 2399d:03h:55m:04s:800ms:000us
10571672944800 MILLISECONDS     : 122357d:07h:49m:04s:800ms:000us
1046595621535200 MILLISECONDS   : 12113375d:05h:58m:55s:200ms:000us
53376376698295200 MILLISECONDS  : 617782137d:17h:04m:55s:200ms:000us
1441162170853970400 MILLISECONDS: 16680117718d:05h:12m:50s:400ms:000us
2 SECONDS                       : 2s:000ms:000us
18 SECONDS                      : 18s:000ms:000us
846 SECONDS                     : 14m:06s:000ms:000us
62604 SECONDS                   : 17h:23m:24s:000ms:000us
876456 SECONDS                  : 10d:03h:27m:36s:000ms:000us
48205080 SECONDS                : 557d:22h:18m:00s:000ms:000us
2313843840 SECONDS              : 26780d:14h:24m:00s:000ms:000us
120319879680 SECONDS            : 1392591d:04h:48m:00s:000ms:000us
9023990976000 SECONDS           : 104444340d:00h:00m:00s:000ms:000us
198527801472000 SECONDS         : 2297775480d:00h:00m:00s:000ms:000us
7941112058880000 SECONDS        : 91911019200d:00h:00m:00s:000ms:000us
738523421475840000 SECONDS      : 8547724785600d:00h:00m:00s:000ms:000us
7385234214758400000 SECONDS     : 85477247856000d:00h:00m:00s:000ms:000us
7 MINUTES                       : 7m:00s:000ms:000us
182 MINUTES                     : 3h:02m:00s:000ms:000us
15652 MINUTES                   : 10d:20h:52m:00s:000ms:000us
704340 MINUTES                  : 489d:03h:00m:00s:000ms:000us
21130200 MINUTES                : 14673d:18h:00m:00s:000ms:000us
1077640200 MINUTES              : 748361d:06h:00m:00s:000ms:000us
103453459200 MINUTES            : 71842680d:00h:00m:00s:000ms:000us
5793393715200 MINUTES           : 4023190080d:00h:00m:00s:000ms:000us
150628236595200 MINUTES         : 104602942080d:00h:00m:00s:000ms:000us
13104656583782400 MINUTES       : 9100455960960d:00h:00m:00s:000ms:000us
170360535589171200 MINUTES      : 118305927492480d:00h:00m:00s:000ms:000us
3 HOURS                         : 3h:00m:00s:000ms:000us
246 HOURS                       : 10d:06h:00m:00s:000ms:000us
23124 HOURS                     : 963d:12h:00m:00s:000ms:000us
716844 HOURS                    : 29868d:12h:00m:00s:000ms:000us
13620036 HOURS                  : 567501d:12h:00m:00s:000ms:000us
1225803240 HOURS                : 51075135d:00h:00m:00s:000ms:000us
18387048600 HOURS               : 766127025d:00h:00m:00s:000ms:000us
1654834374000 HOURS             : 68951432250d:00h:00m:00s:000ms:000us
153899596782000 HOURS           : 6412483199250d:00h:00m:00s:000ms:000us
8002779032664000 HOURS          : 333449126361000d:00h:00m:00s:000ms:000us
416144509698528000 HOURS        : 17339354570772000d:00h:00m:00s:000ms:000us
0 DAYS                          : 0us
39 DAYS                         : 39d:00h:00m:00s:000ms:000us
2925 DAYS                       : 2925d:00h:00m:00s:000ms:000us
140400 DAYS                     : 140400d:00h:00m:00s:000ms:000us
13759200 DAYS                   : 13759200d:00h:00m:00s:000ms:000us
894348000 DAYS                  : 894348000d:00h:00m:00s:000ms:000us
53660880000 DAYS                : 53660880000d:00h:00m:00s:000ms:000us
4346531280000 DAYS              : 4346531280000d:00h:00m:00s:000ms:000us
395534346480000 DAYS            : 395534346480000d:00h:00m:00s:000ms:000us
3955343464800000 DAYS           : 3955343464800000d:00h:00m:00s:000ms:000us
138437021268000000 DAYS         : 138437021268000000d:00h:00m:00s:000ms:000us

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$2.MICROSECONDS, java.util.concurrent.TimeUnit$7.DAYS, true, true);
5 NANOSECONDS                   : 0d:00h:00m:00s:000ms:000us
475 NANOSECONDS                 : 0d:00h:00m:00s:000ms:000us
18050 NANOSECONDS               : 0d:00h:00m:00s:000ms:018us
216600 NANOSECONDS              : 0d:00h:00m:00s:000ms:216us
17111400 NANOSECONDS            : 0d:00h:00m:00s:017ms:111us
924015600 NANOSECONDS           : 0d:00h:00m:00s:924ms:015us
12936218400 NANOSECONDS         : 0d:00h:00m:12s:936ms:218us
452767644000 NANOSECONDS        : 0d:00h:07m:32s:767ms:644us
1358302932000 NANOSECONDS       : 0d:00h:22m:38s:302ms:932us
78781570056000 NANOSECONDS      : 0d:21h:53m:01s:570ms:056us
3860296932744000 NANOSECONDS    : 44d:16h:18m:16s:932ms:744us
270220785292080000 NANOSECONDS  : 3127d:13h:19m:45s:292ms:080us
6755519632302000000 NANOSECONDS : 78188d:21h:13m:52s:302ms:000us
7 MICROSECONDS                  : 0d:00h:00m:00s:000ms:007us
357 MICROSECONDS                : 0d:00h:00m:00s:000ms:357us
24633 MICROSECONDS              : 0d:00h:00m:00s:024ms:633us
541926 MICROSECONDS             : 0d:00h:00m:00s:541ms:926us
10296594 MICROSECONDS           : 0d:00h:00m:10s:296ms:594us
10296594 MICROSECONDS           : 0d:00h:00m:10s:296ms:594us
741354768 MICROSECONDS          : 0d:00h:12m:21s:354ms:768us
68204638656 MICROSECONDS        : 0d:18h:56m:44s:638ms:656us
1568706689088 MICROSECONDS      : 18d:03h:45m:06s:689ms:088us
48629907361728 MICROSECONDS     : 562d:20h:18m:27s:361ms:728us
4668471106725888 MICROSECONDS   : 54033d:05h:31m:46s:725ms:888us
415493928498604032 MICROSECONDS : 4808957d:12h:08m:18s:604ms:032us
5 MILLISECONDS                  : 0d:00h:00m:00s:005ms:000us
475 MILLISECONDS                : 0d:00h:00m:00s:475ms:000us
1425 MILLISECONDS               : 0d:00h:00m:01s:425ms:000us
88350 MILLISECONDS              : 0d:00h:01m:28s:350ms:000us
5742750 MILLISECONDS            : 0d:01h:35m:42s:750ms:000us
327336750 MILLISECONDS          : 3d:18h:55m:36s:750ms:000us
